Aboriginal Law	
Academic Writing Guide	
Accounting	
ADMS 4551: Auditing and Other Assurance Services	c:all,c:ap/adms4551
ADMS 4553: Auditing: Advanced Topics	c:all,c:ap/adms4553
African Diaspora	
African Studies	s:ak/rei,s:ap/afrs,s:as/afrs,s:es/afrs,s:es/hsp,s:gl/ilst
Anatomy & Physiology	s:ap/kine,s:as/kine,s:as/phed,s:ed/kine,s:fa/kine,s:gs/kahs,s:gs/phed,s:hh/kine,s:hh/pkin,s:sc/kine,s:sc/phed
Anthropology	s:ap/anth,s:ap/behs,s:as/anth,s:es/anth,s:gs/anth,s:gs/soan
AP/HUMA 1970B The Worlds of Childhood	c:2012_ap_huma_y_1970__9_b_en_a_lect_01,c:all,s:ap/huma
Archival Research Tutorial	
Art, Architecture and Design	architecture,art,design,s:fa/cchs,s:gs/ahvc,s:gs/arth
ARTH 5130: Graduate Seminar I (Art History)	c:2012_gs_arth_f_5130__3_a_en_a_semr_01,c:all
Asian Studies	s:ak/ch,s:ak/jp,s:ak/rei,s:as/ch,s:as/chlt,s:as/east,s:as/jlt,s:as/jp,s:as/sast,s:as/thai,s:ed/jap,s:es/east
Astronomy	s:gs/phas,s:sc/spsc
Biochemistry	s:ak/biol,s:ak/chem,s:as/biol,s:as/chem,s:ed/biol,s:ed/chem,s:gs/biol,s:gs/chem,s:sc/bchm,s:sc/biol,s:sc/chem,s:sx/apbi
Biography	
Bioinformatics	
Biol2050	
Biology	s:ap/biol,s:ap/nats,s:ed/biol,s:es/biol,s:gl/nats,s:gs/biol,s:sc/apbi,s:sc/bchm,s:sc/biol
Bloomberg	
Book Reviews	
Business	
Business Ethics	s:sb/*
Canadiana	s:ak/cdns,s:ap/cdns,s:as/cdns,s:gl/cdns
Career Research Resources	
Career Resources	
CHEM 3070: Industrial and Green Chemistry	c:ak/chem,c:sc/chem3070
CHEM 3071 Pharmaceutical Discovery	
Chemistry	s:ak/chem,s:ap/chem,s:as/chem,s:ed/chem,s:gs/chem,s:sc/bchm,s:sc/chem
Citation Guide	
Citation Management Programs	
Cited Reference Searching	
Classical Studies	archaeology,greece,mythology,philosophy,rome,s:ak/clst,s:ak/la,s:ap/clas,s:ap/clst,s:as/clas,s:as/clst,s:as/gk,s:as/la
CMNS3700 Advertising: The Growth of a Twentieth Belief System	c:all,c:ap/comn3700
